month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q29,Peak,4102.165,590,6.947412
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q29,Off-Peak,3012.804,378,7.9575453
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q29,Peak,1262.43,166,7.590204
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q3,Off-Peak,25338.88,2464,10.281169
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q3,Peak,9300.149,1029,9.029318
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q3,Off-Peak,9466.943,866,10.920389
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q3,Peak,2531.467,242,10.420406
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q30,Off-Peak,28680.37,3003,9.548669
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q30,Peak,12273.578,1447,8.478789
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q30,Off-Peak,6461.505,568,11.368767
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q30,Peak,2454.543,228,10.756104
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q31,Off-Peak,15468.19,1803,8.575401
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q31,Peak,6803.6074,855,7.9504433
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q31,Off-Peak,2593.0051,270,9.593083
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q31,Peak,1322.2721,141,9.321093
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q32,Off-Peak,20292.98,3129,6.4834023
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q32,Peak,8405.781,1463,5.744087
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q32,Off-Peak,7509.299,1037,7.2344136
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q32,Peak,2970.519,419,7.0730104
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q33,Off-Peak,8368.377,1283,6.5184426
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q33,Peak,3323.013,588,5.6462665
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q33,Off-Peak,3091.056,475,6.4979367
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q33,Peak,968.943,157,6.1690354
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q34,Off-Peak,13124.832,1828,7.1787224
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q34,Peak,5311.17,783,6.7789836
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q34,Off-Peak,333.12,43,7.6002254
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q34,Peak,143.52,19,7.406209
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q35,Off-Peak,19478.055,1133,17.182442
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q35,Peak,8708.034,569,15.29491
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q35,Off-Peak,9989.288,548,18.211485
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q35,Peak,3600.517,210,17.13956
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q36,Off-Peak,18517.564,1859,9.958564
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q36,Peak,9110.198,987,9.228214
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q36,Off-Peak,5237.87,490,10.689507
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q36,Peak,1826.198,180,10.112787
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q37,Off-Peak,12341.053,1357,9.091263
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q37,Peak,7876.526,988,7.9698577
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q37,Off-Peak,3895.701,394,9.86524
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q37,Peak,1517.662,163,9.293484
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q38,Off-Peak,13984.282,1645,8.49942
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q38,Peak,7513.632,1005,7.4737573
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q38,Off-Peak,4606.992,496,9.275293
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q38,Peak,1867.508,214,8.686623
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q39,Off-Peak,15755.052,1870,8.421986
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q39,Peak,9028.576,1208,7.4683194
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q39,Off-Peak,4976.412,510,9.757166
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q39,Peak,1594.672,177,8.979852
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q4,Off-Peak,19512.756,2297,8.494855
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q4,Peak,10013.436,1334,7.5052075
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q4,Off-Peak,5597.304,611,9.157818
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q4,Peak,2002.92,233,8.589383
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q40,Off-Peak,6810.217,824,8.255568
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q40,Peak,3282.284,464,7.0663877
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q40,Off-Peak,2524.33,277,9.095383
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q40,Peak,880.238,103,8.495481
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q41,Off-Peak,11828.922,1377,8.585641
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q41,Peak,6619.817,841,7.8652697
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q41,Off-Peak,3767.811,387,9.72445
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q41,Peak,1637.808,174,9.379076
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q42,Off-Peak,2444.4001,272,8.983517
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q42,Peak,1783.344,224,7.9355745
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q42,Off-Peak,110.024,11,9.775809
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q42,Peak,78.8,8,9.343875
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q43,Off-Peak,28893.178,3163,9.13237
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q43,Peak,14000.675,1572,8.904672
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q43,Off-Peak,8511.142,860,9.889052
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q43,Peak,3270.108,346,9.447394
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q44+,Off-Peak,309.066,47,6.468898
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q44+,Peak,111.852005,15,7.2094126
2020-01-01T00:00:00.000,Queens,1,SBS,Q44+,Off-Peak,63844.254,6420,9.943626
2020-01-01T00:00:00.000,Queens,1,SBS,Q44+,Peak,21813.268,2473,8.817372
